"Year","Month","date","tube","temperature"
2016,"January",2016-01-01,"Jubilee",20.46
2016,"February",2016-02-01,"Jubilee",20.42
2016,"March",2016-03-01,"Jubilee",20.63
2016,"April",2016-04-01,"Jubilee",21.94
2016,"May",2016-05-01,"Jubilee",24.21
2016,"June",2016-06-01,"Jubilee",24.79
2016,"July",2016-07-01,"Jubilee",25.96
2016,"August",2016-08-01,"Jubilee",26.57
2016,"September",2016-09-01,"Jubilee",26.22
2016,"October",2016-10-01,"Jubilee",23.58
2016,"November",2016-11-01,"Jubilee",20.52
2016,"December",2016-12-01,"Jubilee",19.52
2017,"January",2017-01-01,"Jubilee",17.5
2017,"February",2017-02-01,"Jubilee",18.58
2017,"March",2017-03-01,"Jubilee",20.56
2017,"April",2017-04-01,"Jubilee",22.82
2017,"May",2017-05-01,"Jubilee",23.69
2017,"June",2017-06-01,"Jubilee",25.96
2017,"July",2017-07-01,"Jubilee",26.56
2017,"August",2017-08-01,"Jubilee",25.89
2017,"September",2017-09-01,"Jubilee",24.92
2017,"October",2017-10-01,"Jubilee",24.33
2017,"November",2017-11-01,"Jubilee",22.53
2017,"December",2017-12-01,"Jubilee",20.96
2018,"January",2018-01-01,"Jubilee",20.84
2018,"February",2018-02-01,"Jubilee",20.14
2018,"March",2018-03-01,"Jubilee",20.45
2018,"April",2018-04-01,"Jubilee",22.5
2018,"May",2018-05-01,"Jubilee",22.88
2018,"June",2018-06-01,"Jubilee",NA
2018,"July",2018-07-01,"Jubilee",NA
2013,"January",2013-01-01,"Northern",19.5
2013,"February",2013-02-01,"Northern",19.8
2013,"March",2013-03-01,"Northern",20
2013,"April",2013-04-01,"Northern",21.4
2013,"May",2013-05-01,"Northern",22.9
2013,"June",2013-06-01,"Northern",23.7
2013,"July",2013-07-01,"Northern",25.9
2013,"August",2013-08-01,"Northern",26.2
2013,"September",2013-09-01,"Northern",25.1
2013,"October",2013-10-01,"Northern",24.2
2013,"November",2013-11-01,"Northern",22.1
2013,"December",2013-12-01,"Northern",21.2
2014,"January",2014-01-01,"Northern",20.7
2014,"February",2014-02-01,"Northern",20.2
2014,"March",2014-03-01,"Northern",21.1
2014,"April",2014-04-01,"Northern",22.6
2014,"May",2014-05-01,"Northern",23.4
2014,"June",2014-06-01,"Northern",25.2
2014,"July",2014-07-01,"Northern",27.1
2014,"August",2014-08-01,"Northern",26.8
2014,"September",2014-09-01,"Northern",26.5
2014,"October",2014-10-01,"Northern",25.6
2014,"November",2014-11-01,"Northern",23.9
2014,"December",2014-12-01,"Northern",22
2015,"January",2015-01-01,"Northern",21.55
2015,"February",2015-02-01,"Northern",21.11
2015,"March",2015-03-01,"Northern",22.17
2015,"April",2015-04-01,"Northern",23.82
2015,"May",2015-05-01,"Northern",24.77
2015,"June",2015-06-01,"Northern",26.33
2015,"July",2015-07-01,"Northern",27.76
2015,"August",2015-08-01,"Northern",27.74
2015,"September",2015-09-01,"Northern",26.83
2015,"October",2015-10-01,"Northern",25.83
2015,"November",2015-11-01,"Northern",24.88
2015,"December",2015-12-01,"Northern",24.57
2016,"January",2016-01-01,"Northern",23.32
2016,"February",2016-02-01,"Northern",22.86
2016,"March",2016-03-01,"Northern",22.74
2016,"April",2016-04-01,"Northern",24.01
2016,"May",2016-05-01,"Northern",25.23
2016,"June",2016-06-01,"Northern",26.09
2016,"July",2016-07-01,"Northern",27.5
2016,"August",2016-08-01,"Northern",27.98
2016,"September",2016-09-01,"Northern",28.3
2016,"October",2016-10-01,"Northern",26.31
2016,"November",2016-11-01,"Northern",24.2
2016,"December",2016-12-01,"Northern",23.4
2017,"January",2017-01-01,"Northern",21.54
2017,"February",2017-02-01,"Northern",21.87
2017,"March",2017-03-01,"Northern",23.09
2017,"April",2017-04-01,"Northern",24.1
2017,"May",2017-05-01,"Northern",25.02
2017,"June",2017-06-01,"Northern",27.3
2017,"July",2017-07-01,"Northern",28.15
2017,"August",2017-08-01,"Northern",27.88
2017,"September",2017-09-01,"Northern",27.04
2017,"October",2017-10-01,"Northern",26.37
2017,"November",2017-11-01,"Northern",24.13
2017,"December",2017-12-01,"Northern",22.37
2018,"January",2018-01-01,"Northern",22.19
